"tier_4","grid_id","geometry","median_measurements"
"4-006","237885","POLYGON ((-62.50000000000057 46.350000000002915, -62.500000000000576 46.33333300000293, -62.48333300000058 46.33333300000292, -62.48333300000056 46.35000000000294, -62.50000000000057 46.350000000002915))","4"
"4-006","238475","POLYGON ((-63.200000000000614 46.20000000000293, -63.20000000000062 46.18333300000294, -63.18333300000062 46.183333000002925, -63.18333300000061 46.20000000000294, -63.200000000000614 46.20000000000293))","2"
"4-006","239257","POLYGON ((-62.550000000000566 46.48333300000293, -62.55000000000059 46.4666670000029, -62.53333300000056 46.4666670000029, -62.533333000000574 46.483333000002936, -62.550000000000566 46.48333300000293))","17"
"4-006","237135","POLYGON ((-63.433333000000644 46.51666700000292, -63.43333300000062 46.50000000000292, -63.416667000000636 46.50000000000291, -63.416667000000636 46.516667000002904, -63.433333000000644 46.51666700000292))","4"
"4-006","237380","POLYGON ((-62.43333300000055 46.450000000002916, -62.43333300000055 46.43333300000292, -62.41666700000057 46.43333300000292, -62.41666700000056 46.45000000000291, -62.43333300000055 46.450000000002916))","1"
"4-006","238345","POLYGON ((-63.133333000000626 46.233333000002915, -63.13333300000061 46.216667000002914, -63.11666700000062 46.21666700000294, -63.11666700000062 46.23333300000292, -63.133333000000626 46.233333000002915))","8"
"4-006","238365","POLYGON ((-62.80000000000059 46.23333300000291, -62.80000000000059 46.21666700000293, -62.78333300000058 46.21666700000294, -62.783333000000596 46.23333300000294, -62.80000000000059 46.23333300000291))","2"
"4-006","237993","POLYGON ((-63.20000000000062 46.3166670000029, -63.200000000000614 46.300000000002925, -63.18333300000061 46.300000000002925, -63.18333300000061 46.31666700000291, -63.20000000000062 46.3166670000029))","4"
"4-006","237422","POLYGON ((-63.233333000000606 46.43333300000292, -63.233333000000606 46.416667000002924, -63.216667000000626 46.416667000002896, -63.21666700000063 46.43333300000292, -63.233333000000606 46.43333300000292))","3"
"4-006","238435","POLYGON ((-62.733333000000584 46.21666700000294, -62.733333000000584 46.20000000000292, -62.71666700000058 46.20000000000292, -62.71666700000058 46.21666700000292, -62.733333000000584 46.21666700000294))","4"
"4-006","238931","POLYGON ((-62.80000000000059 46.06666700000295, -62.800000000000594 46.05000000000295, -62.783333000000574 46.050000000002946, -62.783333000000574 46.06666700000295, -62.80000000000059 46.06666700000295))","2"
"4-006","237707","POLYGON ((-62.816667000000585 46.38333300000292, -62.8166670000006 46.3666670000029, -62.80000000000059 46.36666700000293, -62.80000000000059 46.383333000002935, -62.816667000000585 46.38333300000292))","5"
"4-006","239107","POLYGON ((-62.750000000000576 45.98333300000296, -62.75000000000059 45.966667000002936, -62.73333300000058 45.96666700000295, -62.733333000000584 45.983333000002936, -62.750000000000576 45.98333300000296))","2"
"4-006","237497","POLYGON ((-61.98333300000054 46.43333300000291, -61.98333300000054 46.41666700000292, -61.96666700000053 46.416667000002924, -61.966667000000534 46.433333000002925, -61.98333300000054 46.43333300000291))","6"
"4-006","237611","POLYGON ((-63.03333300000061 46.40000000000294, -63.03333300000061 46.383333000002935, -63.016667000000595 46.3833330000029, -63.016667000000595 46.400000000002926, -63.03333300000061 46.40000000000294))","5"
