"tier_4","grid_id","geometry","median_measurements"
"4-007","242587","POLYGON ((-64.21666700000068 46.8500000000029, -64.21666700000068 46.83333300000289, -64.20000000000068 46.833333000002874, -64.20000000000068 46.85000000000287, -64.21666700000068 46.8500000000029))","3"
"4-006","238014","POLYGON ((-62.850000000000584 46.316667000002916, -62.85000000000059 46.30000000000291, -62.83333300000059 46.30000000000295, -62.83333300000059 46.31666700000292, -62.850000000000584 46.316667000002916))","6"
"4-007","242811","POLYGON ((-64.06666700000069 46.7166670000029, -64.06666700000068 46.7000000000029, -64.05000000000068 46.70000000000292, -64.05000000000068 46.71666700000289, -64.06666700000069 46.7166670000029))","4"
"4-007","242866","POLYGON ((-64.21666700000068 46.6833330000029, -64.21666700000068 46.6666670000029, -64.20000000000068 46.66666700000288, -64.2000000000007 46.68333300000289, -64.21666700000068 46.6833330000029))","1"
"4-006","237536","POLYGON ((-62.850000000000584 46.41666700000293, -62.850000000000584 46.40000000000291, -62.83333300000061 46.40000000000291, -62.83333300000061 46.416667000002924, -62.850000000000584 46.41666700000293))","7"
"4-007","242840","POLYGON ((-64.11666700000069 46.700000000002895, -64.11666700000069 46.683333000002904, -64.10000000000066 46.68333300000287, -64.10000000000066 46.70000000000291, -64.11666700000069 46.700000000002895))","23"
"4-007","243538","POLYGON ((-63.750000000000654 46.41666700000291, -63.75000000000067 46.40000000000291, -63.73333300000066 46.40000000000291, -63.733333000000655 46.416667000002896, -63.750000000000654 46.41666700000291))","4"
"4-006","238559","POLYGON ((-62.883333000000604 46.18333300000294, -62.88333300000062 46.166667000002946, -62.8666670000006 46.16666700000293, -62.86666700000058 46.183333000002925, -62.883333000000604 46.18333300000294))","4"
"4-007","243961","POLYGON ((-64.43333300000072 46.65000000000291, -64.43333300000073 46.63333300000292, -64.4166670000007 46.6333330000029, -64.4166670000007 46.6500000000029, -64.43333300000072 46.65000000000291))","5"
"4-006","238860","POLYGON ((-62.61666700000058 46.100000000002964, -62.616667000000575 46.08333300000293, -62.60000000000057 46.083333000002945, -62.60000000000057 46.10000000000296, -62.61666700000058 46.100000000002964))","3"
"4-006","237874","POLYGON ((-62.68333300000058 46.35000000000292, -62.683333000000566 46.333333000002916, -62.66666700000058 46.33333300000291, -62.66666700000057 46.35000000000292, -62.68333300000058 46.35000000000292))","10"
"4-007","242487","POLYGON ((-64.2000000000007 46.933333000002875, -64.20000000000068 46.916667000002874, -64.18333300000069 46.916667000002874, -64.18333300000072 46.93333300000289, -64.2000000000007 46.933333000002875))","2"
"4-006","237838","POLYGON ((-63.28333300000062 46.35000000000292, -63.28333300000063 46.33333300000292, -63.26666700000061 46.33333300000294, -63.26666700000061 46.35000000000292, -63.28333300000062 46.35000000000292))","2"
"4-007","242985","POLYGON ((-64.03333300000068 46.6333330000029, -64.03333300000067 46.61666700000291, -64.01666700000068 46.61666700000289, -64.01666700000068 46.633333000002914, -64.03333300000068 46.6333330000029))","3"
"4-007","243265","POLYGON ((-63.95000000000068 46.51666700000292, -63.950000000000664 46.500000000002906, -63.93333300000068 46.500000000002906, -63.933333000000665 46.516667000002926, -63.95000000000068 46.51666700000292))","3"
